image_paths,cluster,dist
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__5200_19800.tif,12,62
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__8200_15000.tif,52,124
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__16800_44000.tif,97,213
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__9200_38600.tif,59,88
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__30000_27600.tif,3,85
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__7600_59600.tif,47,113
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__800_56400.tif,41,81
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__15400_42400.tif,1,75
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__17800_8600.tif,6,78
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__17800_36800.tif,16,80
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__36600_50800.tif,40,95
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__39200_43000.tif,11,65
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__12200_47200.tif,42,81
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__18000_2600.tif,22,87
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__24000_4200.tif,31,106
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__37600_22000.tif,21,75
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38200_31800.tif,81,91
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__42000_44800.tif,39,92
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43000_36000.tif,43,176
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44800_8000.tif,44,95
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44600_33600.tif,11,47
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__6800_1600.tif,86,113
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41400_29000.tif,15,53
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__40400_600.tif,8,74
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__45000_39000.tif,0,77
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44000_14600.tif,38,141
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__18800_1400.tif,51,99
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__17600_7800.tif,74,98
